water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain,unique_rat_id,cumulative_weight_gain,current_body_weight,final_body_weight
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,1,10.0,59.0,51.0,G1_M1,51.0,110.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,2,12.0,59.0,43.0,G1_M1,94.0,153.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,3,10.8,59.0,29.0,G1_M1,123.0,182.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,4,11.88,59.0,20.0,G1_M1,143.0,202.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,5,16.619,59.0,18.0,G1_M1,161.0,220.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,6,20.774,59.0,18.0,G1_M1,179.0,238.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,7,19.059,59.0,18.0,G1_M1,197.0,256.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,8,18.87,59.0,10.0,G1_M1,207.0,266.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,9,21.443,59.0,10.0,G1_M1,217.0,276.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,10,19.673,59.0,5.0,G1_M1,222.0,281.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,11,22.104,59.0,4.0,G1_M1,226.0,285.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,12,22.555,59.0,4.0,G1_M1,230.0,289.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,13,22.113,59.0,3.0,G1_M1,233.0,292.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,14,24.57,59.0,2.0,G1_M1,235.0,294.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,1,male,15,27.3,59.0,2.0,G1_M1,237.0,296.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,1,12.0,67.0,56.0,G1_M2,56.0,123.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,2,14.4,67.0,42.0,G1_M2,98.0,165.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,3,12.96,67.0,28.0,G1_M2,126.0,193.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,4,14.256,67.0,25.0,G1_M2,151.0,218.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,5,17.654,67.0,22.0,G1_M2,173.0,240.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,6,22.068,67.0,18.0,G1_M2,191.0,258.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,7,20.246,67.0,17.0,G1_M2,208.0,275.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,8,20.045,67.0,11.0,G1_M2,219.0,286.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,9,22.779,67.0,9.0,G1_M2,228.0,295.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,10,20.898,67.0,6.0,G1_M2,234.0,301.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,11,23.481,67.0,5.0,G1_M2,239.0,306.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,12,23.96,67.0,3.0,G1_M2,242.0,309.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,13,23.49,67.0,2.0,G1_M2,244.0,311.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,14,26.1,67.0,2.0,G1_M2,246.0,313.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,2,male,15,29.0,67.0,2.0,G1_M2,248.0,315.0,315.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,1,13.0,70.0,40.0,G1_M3,40.0,110.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,2,15.6,70.0,37.0,G1_M3,77.0,147.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,3,14.04,70.0,27.0,G1_M3,104.0,174.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,4,15.444,70.0,24.0,G1_M3,128.0,198.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,5,16.437,70.0,18.0,G1_M3,146.0,216.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,6,20.546,70.0,18.0,G1_M3,164.0,234.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,7,18.849,70.0,12.0,G1_M3,176.0,246.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,8,18.663,70.0,11.0,G1_M3,187.0,257.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,9,21.208,70.0,11.0,G1_M3,198.0,268.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,10,19.457,70.0,9.0,G1_M3,207.0,277.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,11,21.861,70.0,6.0,G1_M3,213.0,283.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,12,22.307,70.0,6.0,G1_M3,219.0,289.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,13,21.87,70.0,4.0,G1_M3,223.0,293.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,14,24.3,70.0,2.0,G1_M3,225.0,295.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,3,male,15,27.0,70.0,1.0,G1_M3,226.0,296.0,296.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,1,10.0,66.0,34.0,G1_M4,34.0,100.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,2,12.0,66.0,24.0,G1_M4,58.0,124.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,3,10.8,66.0,24.0,G1_M4,82.0,148.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,4,11.88,66.0,24.0,G1_M4,106.0,172.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,5,17.045,66.0,23.0,G1_M4,129.0,195.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,6,21.307,66.0,16.0,G1_M4,145.0,211.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,7,19.547,66.0,13.0,G1_M4,158.0,224.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,8,19.354,66.0,13.0,G1_M4,171.0,237.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,9,21.993,66.0,13.0,G1_M4,184.0,250.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,10,20.177,66.0,8.0,G1_M4,192.0,258.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,11,22.671,66.0,7.0,G1_M4,199.0,265.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,12,23.134,66.0,5.0,G1_M4,204.0,270.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,13,22.68,66.0,3.0,G1_M4,207.0,273.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,14,25.2,66.0,3.0,G1_M4,210.0,276.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,4,male,15,28.0,66.0,2.0,G1_M4,212.0,278.0,278.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,1,12.0,62.0,57.0,G1_M5,57.0,119.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,2,14.4,62.0,38.0,G1_M5,95.0,157.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,3,12.96,62.0,28.0,G1_M5,123.0,185.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,4,14.256,62.0,25.0,G1_M5,148.0,210.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,5,15.219,62.0,25.0,G1_M5,173.0,235.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,6,19.024,62.0,21.0,G1_M5,194.0,256.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,7,17.453,62.0,20.0,G1_M5,214.0,276.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,8,17.28,62.0,16.0,G1_M5,230.0,292.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,9,19.637,62.0,13.0,G1_M5,243.0,305.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,10,18.015,62.0,11.0,G1_M5,254.0,316.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,11,20.242,62.0,10.0,G1_M5,264.0,326.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,12,20.655,62.0,10.0,G1_M5,274.0,336.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,13,20.25,62.0,5.0,G1_M5,279.0,341.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,14,22.5,62.0,4.0,G1_M5,283.0,345.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,male,15,25.0,62.0,2.0,G1_M5,285.0,347.0,347.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,1,14.0,76.0,36.0,G1_F6,36.0,112.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,2,16.8,76.0,24.0,G1_F6,60.0,136.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,3,15.12,76.0,15.0,G1_F6,75.0,151.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,4,16.632,76.0,13.0,G1_F6,88.0,164.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,5,14.002,76.0,13.0,G1_F6,101.0,177.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,6,17.502,76.0,12.0,G1_F6,113.0,189.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,7,16.057,76.0,11.0,G1_F6,124.0,200.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,8,15.898,76.0,11.0,G1_F6,135.0,211.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,9,18.066,76.0,8.0,G1_F6,143.0,219.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,10,16.574,76.0,7.0,G1_F6,150.0,226.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,11,18.623,76.0,6.0,G1_F6,156.0,232.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,12,19.003,76.0,4.0,G1_F6,160.0,236.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,13,18.63,76.0,3.0,G1_F6,163.0,239.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,14,20.7,76.0,1.0,G1_F6,164.0,240.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,female,15,23.0,76.0,1.0,G1_F6,165.0,241.0,241.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,1,15.0,76.0,33.0,G1_F7,33.0,109.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,2,18.0,76.0,30.0,G1_F7,63.0,139.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,3,16.2,76.0,17.0,G1_F7,80.0,156.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,4,17.82,76.0,12.0,G1_F7,92.0,168.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,5,15.219,76.0,10.0,G1_F7,102.0,178.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,6,19.024,76.0,8.0,G1_F7,110.0,186.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,7,17.453,76.0,8.0,G1_F7,118.0,194.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,8,17.28,76.0,8.0,G1_F7,126.0,202.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,9,19.637,76.0,7.0,G1_F7,133.0,209.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,10,18.015,76.0,6.0,G1_F7,139.0,215.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,11,20.242,76.0,6.0,G1_F7,145.0,221.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,12,20.655,76.0,3.0,G1_F7,148.0,224.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,13,20.25,76.0,2.0,G1_F7,150.0,226.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,14,22.5,76.0,2.0,G1_F7,152.0,228.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,female,15,25.0,76.0,1.0,G1_F7,153.0,229.0,229.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,1,14.343,100.0,31.0,G1_F8,31.0,131.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,2,17.211,100.0,21.0,G1_F8,52.0,152.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,3,15.49,100.0,14.0,G1_F8,66.0,166.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,4,17.039,100.0,12.0,G1_F8,78.0,178.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,5,14.61,100.0,11.0,G1_F8,89.0,189.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,6,18.263,100.0,11.0,G1_F8,100.0,200.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,7,16.755,100.0,9.0,G1_F8,109.0,209.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,8,16.589,100.0,8.0,G1_F8,117.0,217.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,9,18.851,100.0,7.0,G1_F8,124.0,224.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,10,17.295,100.0,5.0,G1_F8,129.0,229.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,11,19.432,100.0,5.0,G1_F8,134.0,234.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,12,19.829,100.0,5.0,G1_F8,139.0,239.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,13,19.44,100.0,3.0,G1_F8,142.0,242.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,14,21.6,100.0,2.0,G1_F8,144.0,244.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,female,15,24.0,100.0,1.0,G1_F8,145.0,245.0,245.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,1,13.0,108.0,21.0,G1_F9,21.0,129.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,2,15.6,108.0,15.0,G1_F9,36.0,144.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,3,14.04,108.0,10.0,G1_F9,46.0,154.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,4,15.444,108.0,10.0,G1_F9,56.0,164.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,5,15.828,108.0,10.0,G1_F9,66.0,174.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,6,19.785,108.0,9.0,G1_F9,75.0,183.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,7,18.151,108.0,8.0,G1_F9,83.0,191.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,8,17.971,108.0,8.0,G1_F9,91.0,199.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,9,20.422,108.0,8.0,G1_F9,99.0,207.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,10,18.736,108.0,8.0,G1_F9,107.0,215.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,11,21.052,108.0,4.0,G1_F9,111.0,219.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,12,21.481,108.0,4.0,G1_F9,115.0,223.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,13,21.06,108.0,3.0,G1_F9,118.0,226.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,14,23.4,108.0,3.0,G1_F9,121.0,229.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,female,15,26.0,108.0,1.0,G1_F9,122.0,230.0,230.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,1,14.0,117.0,27.0,G1_F10,27.0,144.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,2,16.8,117.0,24.0,G1_F10,51.0,168.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,3,15.12,117.0,18.0,G1_F10,69.0,186.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,4,16.632,117.0,12.0,G1_F10,81.0,198.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,5,15.219,117.0,12.0,G1_F10,93.0,210.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,6,19.024,117.0,11.0,G1_F10,104.0,221.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,7,17.453,117.0,10.0,G1_F10,114.0,231.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,8,17.28,117.0,9.0,G1_F10,123.0,240.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,9,19.637,117.0,8.0,G1_F10,131.0,248.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,10,18.015,117.0,7.0,G1_F10,138.0,255.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,11,20.242,117.0,7.0,G1_F10,145.0,262.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,12,20.655,117.0,7.0,G1_F10,152.0,269.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,13,20.25,117.0,6.0,G1_F10,158.0,275.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,14,22.5,117.0,3.0,G1_F10,161.0,278.0,280.0
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,10,female,15,25.0,117.0,2.0,G1_F10,163.0,280.0,280.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,1,14.886,74.0,57.0,G2_M1,57.0,131.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,2,17.863,74.0,46.0,G2_M1,103.0,177.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,3,16.077,74.0,32.0,G2_M1,135.0,209.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,4,17.684,74.0,25.0,G2_M1,160.0,234.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,5,13.393,74.0,24.0,G2_M1,184.0,258.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,6,16.741,74.0,18.0,G2_M1,202.0,276.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,7,15.359,74.0,13.0,G2_M1,215.0,289.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,8,15.207,74.0,12.0,G2_M1,227.0,301.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,9,17.28,74.0,12.0,G2_M1,239.0,313.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,10,15.853,74.0,11.0,G2_M1,250.0,324.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,11,17.813,74.0,8.0,G2_M1,258.0,332.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,12,18.176,74.0,8.0,G2_M1,266.0,340.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,13,17.82,74.0,8.0,G2_M1,274.0,348.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,14,19.8,74.0,4.0,G2_M1,278.0,352.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,1,male,15,22.0,74.0,1.0,G2_M1,279.0,353.0,353.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,1,16.0,77.0,58.0,G2_M2,58.0,135.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,2,19.2,77.0,32.0,G2_M2,90.0,167.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,3,17.28,77.0,26.0,G2_M2,116.0,193.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,4,19.008,77.0,24.0,G2_M2,140.0,217.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,5,12.784,77.0,22.0,G2_M2,162.0,239.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,6,15.98,77.0,16.0,G2_M2,178.0,255.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,7,14.661,77.0,15.0,G2_M2,193.0,270.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,8,14.515,77.0,10.0,G2_M2,203.0,280.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,9,16.495,77.0,9.0,G2_M2,212.0,289.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,10,15.133,77.0,8.0,G2_M2,220.0,297.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,11,17.003,77.0,6.0,G2_M2,226.0,303.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,12,17.35,77.0,5.0,G2_M2,231.0,308.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,13,17.01,77.0,4.0,G2_M2,235.0,312.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,14,18.9,77.0,3.0,G2_M2,238.0,315.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,2,male,15,21.0,77.0,2.0,G2_M2,240.0,317.0,317.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,1,14.0,74.0,48.0,G2_M3,48.0,122.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,2,16.8,74.0,41.0,G2_M3,89.0,163.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,3,15.12,74.0,21.0,G2_M3,110.0,184.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,4,16.632,74.0,18.0,G2_M3,128.0,202.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,5,14.002,74.0,17.0,G2_M3,145.0,219.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,6,17.502,74.0,17.0,G2_M3,162.0,236.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,7,16.057,74.0,10.0,G2_M3,172.0,246.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,8,15.898,74.0,10.0,G2_M3,182.0,256.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,9,18.066,74.0,9.0,G2_M3,191.0,265.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,10,16.574,74.0,7.0,G2_M3,198.0,272.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,11,18.623,74.0,6.0,G2_M3,204.0,278.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,12,19.003,74.0,5.0,G2_M3,209.0,283.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,13,18.63,74.0,4.0,G2_M3,213.0,287.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,14,20.7,74.0,1.0,G2_M3,214.0,288.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,3,male,15,23.0,74.0,1.0,G2_M3,215.0,289.0,289.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,1,13.0,97.0,42.0,G2_M4,42.0,139.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,2,15.6,97.0,33.0,G2_M4,75.0,172.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,3,14.04,97.0,30.0,G2_M4,105.0,202.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,4,15.444,97.0,23.0,G2_M4,128.0,225.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,5,15.219,97.0,20.0,G2_M4,148.0,245.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,6,19.024,97.0,17.0,G2_M4,165.0,262.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,7,17.453,97.0,17.0,G2_M4,182.0,279.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,8,17.28,97.0,17.0,G2_M4,199.0,296.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,9,19.637,97.0,16.0,G2_M4,215.0,312.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,10,18.015,97.0,10.0,G2_M4,225.0,322.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,11,20.242,97.0,10.0,G2_M4,235.0,332.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,12,20.655,97.0,6.0,G2_M4,241.0,338.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,13,20.25,97.0,5.0,G2_M4,246.0,343.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,14,22.5,97.0,2.0,G2_M4,248.0,345.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,4,male,15,25.0,97.0,1.0,G2_M4,249.0,346.0,346.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,male,1,14.0,113.0,54.0,G2_M5,54.0,167.0,354.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,male,2,16.8,113.0,37.0,G2_M5,91.0,204.0,354.0
Group 2 (RO water with 50-75 TDS),Group 2 Male Rats,5,male,3,15.12,113.0,25.0,G2_M5,116.0,229.0,354.0
