water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,1,16.000,130.000,49.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,2,19.200,,41.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,3,17.280,,25.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,4,19.008,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,5,17.045,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,6,21.307,,17.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,7,19.547,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,8,19.354,,10.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,9,21.993,,10.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,10,20.177,,9.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,11,22.671,,6.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,12,23.134,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,13,22.680,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,14,25.200,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,2,,15,28.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,1,17.000,110.000,41.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,2,20.400,,38.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,3,18.360,,23.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,4,20.196,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,5,15.219,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,6,19.024,,17.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,7,17.453,,17.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,8,17.280,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,9,19.637,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,10,18.015,,9.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,11,20.242,,7.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,12,20.655,,6.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,13,20.250,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,14,22.500,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,3,,15,25.000,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,1,18.000,114.000,46.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,2,21.600,,42.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,3,19.440,,28.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,4,21.384,,22.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,5,15.219,,20.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,6,19.024,,20.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,7,17.453,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,8,17.280,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,9,19.637,,14.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,10,18.015,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,11,20.242,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,12,20.655,,10.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,13,20.250,,6.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,14,22.500,,5.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,4,,15,25.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,1,15.000,101.000,48.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,2,18.000,,46.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,3,16.200,,41.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,4,17.820,,20.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,5,13.393,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,6,16.741,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,7,15.359,,14.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,8,15.207,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,9,17.280,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,10,15.853,,11.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,11,17.813,,10.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,12,18.176,,7.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,13,17.820,,5.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,14,19.800,,5.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Male Rats,5,,15,22.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,1,11.743,75.000,37.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,2,14.091,,31.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,3,12.682,,25.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,4,13.951,,21.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,5,12.175,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,6,15.219,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,7,13.962,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,8,13.824,,9.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,9,15.709,,6.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,10,14.412,,5.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,11,16.194,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,12,16.524,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,13,16.200,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,14,18.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,6,,15,20.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,1,13.000,92.000,38.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,2,15.600,,36.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,3,14.040,,30.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,4,15.444,,21.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,5,12.784,,16.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,6,15.980,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,7,14.661,,14.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,8,14.515,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,9,16.495,,8.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,10,15.133,,8.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,11,17.003,,5.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,12,17.350,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,13,17.010,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,14,18.900,,1.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,7,,15,21.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,1,11.000,114.000,41.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,2,13.200,,35.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,3,11.880,,25.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,4,13.068,,20.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,5,12.784,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,6,15.980,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,7,14.661,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,8,14.515,,14.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,9,16.495,,14.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,10,15.133,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,11,17.003,,12.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,12,17.350,,10.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,13,17.010,,6.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,14,18.900,,5.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,8,,15,21.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,1,10.000,122.000,42.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,2,12.000,,39.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,3,10.800,,31.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,4,11.880,,25.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,5,14.610,,23.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,6,18.263,,20.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,7,16.755,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,8,16.589,,15.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,9,18.851,,11.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,10,17.295,,7.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,11,19.432,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,12,19.829,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,13,19.440,,3.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,14,21.600,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,9,,15,24.000,,2.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,1,11.743,120.000,64.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,2,14.091,,33.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,3,12.682,,31.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,4,13.951,,25.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,5,13.393,,23.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,6,16.741,,18.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,7,15.359,,9.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,8,15.207,,9.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,9,17.280,,7.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,10,15.853,,7.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,11,17.813,,6.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,12,18.176,,5.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,13,17.820,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,14,19.800,,4.000
Group 3 (RO water with 125 - 150 TDS),Group 3 Female Rats,10,,15,22.000,,3.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,1,16.000,67.000,50.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,2,19.200,,46.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,3,17.280,,30.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,4,19.008,,18.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,5,14.002,,16.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,6,17.502,,15.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,7,16.057,,11.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,8,15.898,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,9,18.066,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,10,16.574,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,11,18.623,,5.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,12,19.003,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,13,18.630,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,14,20.700,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,1,,15,23.000,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,1,17.000,62.000,60.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,2,20.400,,40.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,3,18.360,,22.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,4,20.196,,20.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,5,13.393,,17.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,6,16.741,,17.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,7,15.359,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,8,15.207,,13.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,9,17.280,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,10,15.853,,9.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,11,17.813,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,12,18.176,,6.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,13,17.820,,3.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,14,19.800,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,2,,15,22.000,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,1,15.000,72.000,54.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,2,18.000,,38.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,3,16.200,,23.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,4,17.820,,22.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,5,15.219,,21.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,6,19.024,,18.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,7,17.453,,18.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,8,17.280,,16.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,9,19.637,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,10,18.015,,13.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,11,20.242,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,12,20.655,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,13,20.250,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,14,22.500,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,3,,15,25.000,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,1,16.857,121,62.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,2,20.229,,51.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,3,18.206,,20.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,4,20.026,,20.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,5,16.437,,18.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,6,20.546,,17.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,7,18.849,,16.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,8,18.663,,15.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,9,21.208,,13.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,10,19.457,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,11,21.861,,8.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,12,22.307,,5.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,13,21.870,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,14,24.300,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,4,,15,27.000,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,1,16.000,134.000,63.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,2,19.200,,54.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,3,17.280,,19.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,4,19.008,,17.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,5,17.045,,15.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,6,21.307,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,7,19.547,,12.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,8,19.354,,12.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,9,21.993,,11.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,10,20.177,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,11,22.671,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,12,23.134,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,13,22.680,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,14,25.200,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Male Rats,5,,15,28.000,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,1,15.000,95.000,38.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,2,18.000,,23.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,3,16.200,,18.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,4,17.820,,16.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,5,13.393,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,6,16.741,,13.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,7,15.359,,9.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,8,15.207,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,9,17.280,,6.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,10,15.853,,6.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,11,17.813,,5.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,12,18.176,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,13,17.820,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,14,19.800,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,6,,15,22.000,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,1,14.000,89.000,40.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,2,16.800,,21.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,3,15.120,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,4,16.632,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,5,12.784,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,6,15.980,,12.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,7,14.661,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,8,14.515,,9.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,9,16.495,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,10,15.133,,5.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,11,17.003,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,12,17.350,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,13,17.010,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,14,18.900,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,7,,15,21.000,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,1,15.000,100.000,36.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,2,18.000,,20.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,3,16.200,,18.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,4,17.820,,12.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,5,13.393,,12.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,6,16.741,,12.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,7,15.359,,11.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,8,15.207,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,9,17.280,,9.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,10,15.853,,6.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,11,17.813,,5.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,12,18.176,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,13,17.820,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,14,19.800,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,8,,15,22.000,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,1,13.000,105.000,38.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,2,15.600,,21.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,3,14.040,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,4,15.444,,13.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,5,14.610,,11.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,6,18.263,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,7,16.755,,9.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,8,16.589,,9.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,9,18.851,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,10,17.295,,7.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,11,19.432,,6.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,12,19.829,,4.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,13,19.440,,3.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,14,21.600,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,9,,15,24.000,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,1,14.000,103,32.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,2,16.800,,16.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,3,15.120,,14.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,4,16.632,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,5,14.002,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,6,17.502,,10.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,7,16.057,,8.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,8,15.898,,6.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,9,18.066,,6.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,10,16.574,,5.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,11,18.623,,5.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,12,19.003,,2.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,13,18.630,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,14,20.700,,1.000
Group 4 (Telugu Ganga water supplied to Tirupati),Group 4 Female Rats,10,,15,23.000,,1.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,1,13.000,85.000,51.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,2,15.600,,46.000
Group 5 (Kalyani Dam water supplied to Tirupati),Group 5 Male Rats,1,,3,14.040,,22.000
