water_group,rat_id,rat_number,gender,week,weekly_feed_intake,initial_body_weight,weekly_weight_gain
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,14,22.500,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Male Rats,5,,15,25.000,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,1,14.000,76,36.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,2,16.800,,24.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,3,15.120,,15.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,4,16.632,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,5,14.002,,13.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,6,17.502,,12.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,7,16.057,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,8,15.898,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,9,18.066,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,10,16.574,,7.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,11,18.623,,6.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,12,19.003,,4.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,13,18.630,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,14,20.700,,1.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,6,,15,23.000,,1.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,1,15.000,76.000,33.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,2,18.000,,30.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,3,16.200,,17.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,4,17.820,,12.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,5,15.219,,10.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,6,19.024,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,7,17.453,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,8,17.280,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,9,19.637,,7.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,10,18.015,,6.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,11,20.242,,6.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,12,20.655,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,13,20.250,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,14,22.500,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,7,,15,25.000,,1.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,1,14.343,100.000,31.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,2,17.211,,21.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,3,15.490,,14.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,4,17.039,,12.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,5,14.610,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,6,18.263,,11.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,7,16.755,,9.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,8,16.589,,8.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,9,18.851,,7.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,10,17.295,,5.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,11,19.432,,5.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,12,19.829,,5.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,13,19.440,,3.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,14,21.600,,2.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,8,,15,24.000,,1.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,1,13.000,108,21.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,2,15.600,,15.000
Group 1 (RO water with < 20 TDS),Group 1 Female Rats,9,,3,14.040,,10.000
