group,male_mean,female_mean,difference,percent_diff
G01: RO <20 TDS,19.044773333333332,18.312613333333335,0.7321599999999968,3.99811860094971
G02: RO 50-75 TDS,17.830493333333333,16.456466666666667,1.3740266666666656,8.349463432814652
G03: RO 125-150 TDS,19.525893333333336,15.82444,3.701453333333337,23.390738208324194
G04: Telugu Ganga,19.16864,17.088826666666666,2.079813333333334,12.17060348204129
G05: Kalyani Dam,19.321213333333333,17.92204,1.3991733333333336,7.806998161667609
G06: Ground Water,16.519066666666667,14.715440000000001,1.8036266666666663,12.256695461818785
G07: RO <20 (Fasting),9.176626666666667,9.228626666666667,-0.0519999999999996,-0.5634641196162044
G08: Kalyani (Fasting),9.878546666666667,10.051853333333334,-0.17330666666666694,-1.7241264960756848
G09: BIS Standard,18.994080000000004,16.373946666666665,2.6201333333333388,16.001843579149348
G10: Ground (Fasting),10.04148,9.96056,0.08092000000000077,0.8124041218566103
G11: RO 125-150 (Fasting),9.54384,9.19616,0.34767999999999866,3.7807084696220885
