phase,mean,median,std,count
Early (1-5),0.8045176762390447,0.7840316205533597,0.3605358903244266,550
Late (11-15),6.16415134228188,5.219,3.205671791622853,298
Middle (6-10),2.1884993289834584,1.8949375,1.1023951394691698,530
